Date,Product,Customer,Amount,Payment_Method,Order_ID
2025-07-05 09:15:59.161736,ph0ne,frank,N/A,MoBile MoNeY,ORD8728
2025-09-03 09:15:59.161686,MONITOR,Bob,,Cash,ORD2437
2025-05-23 09:15:59.162210,ph0ne,ALICE,,Card,ORD7275
2025-08-05 09:15:59.162428,Keyboard,Eve,896.37,Mobile Money,ORD5631
2025-01-20 09:15:59.162159,Mouse,Frank,,MoBile MoNeY,ORD2283
2025-02-18 09:15:59.162407,keyboard ,frank,N/A,Cash,ORD8520
2024-10-04 09:15:59.161620,keyboard ,Bob,390.02,Bank Transfer,ORD8265
2024-10-12 09:15:59.161722,Phone,Eve,986.56,CARD,ORD5430
2025-03-31 09:15:59.162476,Mouse,frank,-35.720642351336764,cash,ORD1578
2024-11-03 09:15:59.161531,ph0ne,Alice,N/A,Bank Transfer,ORD6370
2024-11-28 09:15:59.161580,MONITOR,EVE ,N/A,Card,ORD1509
2024-10-20 09:15:59.162426,ph0ne,Alice,-340.1651323117781,MoBile MoNeY,ORD7131
2025-06-17 09:15:59.161600,Phone,Eve,403.78,CARD,ORD4641
2025-06-05 09:15:59.162471,laptpo,Bob,,Mobile Money,ORD7857
2025-04-13 09:15:59.161752,laptpo,Eve,1242.07,MoBile MoNeY,ORD9743
2025-07-06 09:15:59.161892,keyboard ,Frank,,cash,ORD2453
2025-06-17 09:15:59.161887,Laptop,ALICE,,Card,ORD6682
2025-06-02 09:15:59.162479, MOUSE ,frank,,MoBile MoNeY,ORD6622
2025-07-21 09:15:59.162045,laptpo,Alice,N/A,Cash,ORD5825
2025-01-11 09:15:59.161592, MOUSE ,David,-32.64472186545163,MoBile MoNeY,ORD3290
2024-11-29 09:15:59.162011,Headphones,frank,1125.49,MoBile MoNeY,ORD6424
2025-08-28 09:15:59.162168,Monitor,EVE ,N/A,Cash,ORD6238
2025-08-10 09:15:59.161587,Keyboard,Bob,N/A,MoBile MoNeY,ORD2551
2025-08-19 09:15:59.162391,ph0ne,Alice,-202.68867021551566,CARD,ORD3837
2025-04-07 09:15:59.161641,Headphones,Bob,N/A,Card,ORD8552
2025-07-21 09:15:59.162244,Laptop,Alice,N/A,Cash,ORD5965
2025-02-02 09:15:59.162105, MOUSE ,ALICE,,MoBile MoNeY,ORD2584
2024-11-21 09:15:59.161654,laptpo, charlie,908.24,Cash,ORD7270
2025-05-11 09:15:59.161741,Head-phones,DAVID,1076.63,Mobile Money,ORD4813
2025-09-01 09:15:59.162178,MONITOR,EVE ,,MoBile MoNeY,ORD5525
2025-05-14 09:15:59.162278,Mouse,Charlie,840.94,Mobile Money,ORD7671
2024-11-12 09:15:59.162259,Phone,ALICE,1305.41,Mobile Money,ORD6257
2025-09-10 09:15:59.161758, MOUSE ,Frank,-131.6135680529569,Card,ORD7363
2024-12-22 09:15:59.162302,Laptop, charlie,575.12,cash,ORD9303
2025-02-12 09:15:59.162111,ph0ne,frank,371.28,CARD,ORD9871
2024-10-25 09:15:59.162222, MOUSE ,Charlie,N/A,MoBile MoNeY,ORD3356
2024-12-18 09:15:59.162404,ph0ne,Charlie,-46.030557373992494,MoBile MoNeY,ORD7168
2025-04-09 09:15:59.162370,Monitor,DAVID,,Card,ORD3669
2025-09-21 09:15:59.161843, MOUSE ,frank,-228.80822259116528,Mobile Money,ORD8157
2025-08-14 09:15:59.161921, MOUSE ,EVE ,N/A,MoBile MoNeY,ORD3725
2025-02-28 09:15:59.162453,MONITOR,Charlie,,Card,ORD9475
2025-08-20 09:15:59.162254,Headphones, charlie,-494.6701241251005,MoBile MoNeY,ORD3201
2025-08-24 09:15:59.161765,Laptop,bob ,492.8,Cash,ORD4875
2025-04-10 09:15:59.162029,Headphones,bob ,707.89,CARD,ORD1813
2025-06-14 09:15:59.162346,Monitor,frank,1163.28,MoBile MoNeY,ORD7102
2025-08-06 09:15:59.161697,MONITOR,Charlie,-187.47213886258527,cash,ORD9614
2025-07-21 09:15:59.162282,Laptop,Bob,-154.86357517676774,cash,ORD8937
2024-12-23 09:15:59.162171,Headphones,Eve,,CARD,ORD2425
2025-07-31 09:15:59.161907,Monitor,EVE ,N/A,MoBile MoNeY,ORD6742
2025-04-09 09:15:59.162451,Monitor,bob ,N/A,Card,ORD3456
2024-12-26 09:15:59.161851,laptpo,bob ,388.67,MoBile MoNeY,ORD6846
2025-03-24 09:15:59.162414,Head-phones,Eve,-403.9432690451639,Bank Transfer,ORD5950
2024-11-29 09:15:59.162005, MOUSE ,ALICE,1008.53,Cash,ORD3573
2025-02-19 09:15:59.161797,Mouse,frank,N/A,MoBile MoNeY,ORD9625
2025-06-09 09:15:59.162272,Head-phones,bob ,1211.66,Mobile Money,ORD8237
2025-01-10 09:15:59.162275,ph0ne,bob ,,Card,ORD4463
2025-05-07 09:15:59.162495,Phone,frank,-174.17063571091896,Card,ORD5813
2024-11-02 09:15:59.161855,Monitor,EVE ,,CARD,ORD3872
2024-11-04 09:15:59.162374,keyboard ,Frank,N/A,Mobile Money,ORD4626
2024-10-19 09:15:59.162235,Headphones,Frank,148.14,Cash,ORD8785
2024-12-24 09:15:59.162119,Monitor,Bob,-388.6955637313045,MoBile MoNeY,ORD9561
2025-07-07 09:15:59.162460,Phone,EVE ,-291.0036338980861,Cash,ORD6236
2025-02-27 09:15:59.162446,Headphones,David,N/A,Mobile Money,ORD5278
2024-10-10 09:15:59.162347,MONITOR,EVE ,N/A,CARD,ORD9008
2025-09-25 09:15:59.162369, MOUSE ,frank,N/A,Cash,ORD1813
2024-11-22 09:15:59.161594,Monitor,frank,-386.5597761100965,Cash,ORD2989
2025-04-26 09:15:59.162249,Laptop,David,-40.91926314579007,Bank Transfer,ORD9054
2024-11-09 09:15:59.161673,Phone,DAVID,,CARD,ORD1567
2025-09-22 09:15:59.162313,Laptop,bob ,-137.54198785855266,cash,ORD4158
2024-10-27 09:15:59.162077,MONITOR,bob ,N/A,Card,ORD7349
2024-10-31 09:15:59.162247,keyboard ,Charlie,,Cash,ORD5593
2024-10-29 09:15:59.161969,keyboard ,bob ,N/A,CARD,ORD7151
2025-04-18 09:15:59.162252,laptpo, charlie,N/A,Mobile Money,ORD4734
2024-12-21 09:15:59.161605,Headphones,frank,122.82,Bank Transfer,ORD7563
2025-06-21 09:15:59.162093,ph0ne,ALICE,N/A,MoBile MoNeY,ORD8204
2025-03-16 09:15:59.161647,ph0ne,Charlie,-143.73830276399573,Cash,ORD8096
2025-08-22 09:15:59.162196,MONITOR,Charlie,-35.56810359789225,MoBile MoNeY,ORD2641
2025-05-14 09:15:59.162146,ph0ne,Frank,-356.73463511840663,Bank Transfer,ORD3832
2025-07-03 09:15:59.162127,Mouse,Charlie,N/A,Cash,ORD4860
2025-03-16 09:15:59.162141,Keyboard,bob ,,cash,ORD3415
2025-03-06 09:15:59.161801,ph0ne,bob ,-240.30509353057232,Cash,ORD1011
2025-08-02 09:15:59.162088,keyboard ,EVE ,1158.03,cash,ORD8303
2025-05-27 09:15:59.162239,keyboard ,DAVID,1472.51,Card,ORD7102
2025-09-23 09:15:59.161616, MOUSE ,Frank,,Bank Transfer,ORD2056
2025-03-08 09:15:59.161778,Phone,Frank,,Bank Transfer,ORD9064
2024-10-14 09:15:59.162509,MONITOR,Frank,N/A,CARD,ORD3999
2025-08-20 09:15:59.162266,Laptop,ALICE,-101.54043661906998,Bank Transfer,ORD2462
2025-06-04 09:15:59.162481,Headphones,Frank,-468.16572831211425,Card,ORD4643
2024-11-14 09:15:59.161675,Head-phones,Frank,N/A,MoBile MoNeY,ORD5026
2025-06-01 09:15:59.162009,laptpo,Bob,,Card,ORD2659
2024-10-02 09:15:59.161603,Keyboard,ALICE,-117.23215703803652,MoBile MoNeY,ORD4246
2025-05-30 09:15:59.161591,Mouse,Eve,,CARD,ORD2669
2024-09-26 09:15:59.161961,MONITOR,David,-366.03358377304835,cash,ORD2715
2025-05-01 09:15:59.161691,Head-phones,David,N/A,Bank Transfer,ORD3248
2025-08-25 09:15:59.161994,laptpo,bob ,526.41,Mobile Money,ORD8066
2025-04-04 09:15:59.162344,Monitor,Bob,,Cash,ORD4963
2025-09-08 09:15:59.162399, MOUSE ,Eve,N/A,cash,ORD6004
2024-12-24 09:15:59.161894, MOUSE ,frank,N/A,Cash,ORD6500
2024-11-03 09:15:59.161743,ph0ne,DAVID,,Mobile Money,ORD3615
2024-11-24 09:15:59.161900, MOUSE ,EVE ,-62.260101036956854,Mobile Money,ORD5345
2024-12-17 09:15:59.162332,laptpo,Alice,,Mobile Money,ORD7035
2024-10-29 09:15:59.161601,ph0ne,Charlie,1344.36,MoBile MoNeY,ORD3141
2025-02-28 09:15:59.162070,Keyboard,Charlie,N/A,Card,ORD9013
2024-12-11 09:15:59.162225,Headphones,Charlie,-419.9769830966143,cash,ORD1635
2025-09-13 09:15:59.161596,Laptop,Bob,,Cash,ORD1195
2025-06-04 09:15:59.161561,laptpo,David,N/A,Mobile Money,ORD7492
2025-07-15 09:15:59.161783,Keyboard,David,N/A,Card,ORD3876
2025-04-03 09:15:59.161653,Mouse, charlie,-271.72057847092714,Mobile Money,ORD1483
2025-02-03 09:15:59.162474,Head-phones, charlie,,Cash,ORD7361
2025-08-27 09:15:59.162137,Mouse,Eve,891.48,Bank Transfer,ORD9226
2025-06-07 09:15:59.161589,keyboard ,DAVID,,Mobile Money,ORD8570
2025-05-07 09:15:59.161701,Headphones,ALICE,-460.6126518823558,cash,ORD9907
2024-12-14 09:15:59.162431,Phone,Charlie,,Bank Transfer,ORD2771
2025-05-09 09:15:59.161557,Laptop,bob ,N/A,Bank Transfer,ORD5066
2025-08-02 09:15:59.162464,Headphones,ALICE,N/A,Cash,ORD1417
2025-03-05 09:15:59.162135,keyboard ,Bob,-258.463230493638,Cash,ORD1568
2025-06-20 09:15:59.161680, MOUSE ,Eve,N/A,CARD,ORD7750
2025-06-10 09:15:59.161772,Phone,DAVID,-347.7918565345368,cash,ORD6761
2024-12-02 09:15:59.162224,Mouse, charlie,-126.83535669531311,Cash,ORD7581
2025-07-05 09:15:59.162442,keyboard ,frank,-109.90692452404592,Mobile Money,ORD6327
2024-11-29 09:15:59.161613, MOUSE ,ALICE,N/A,Card,ORD2228
2025-02-07 09:15:59.161981,Laptop, charlie,1011.01,cash,ORD2525
2025-07-24 09:15:59.161928,MONITOR,Frank,1216.14,Cash,ORD6754
2025-02-24 09:15:59.161607,laptpo,EVE ,N/A,Cash,ORD7098
2025-08-05 09:15:59.161567,ph0ne, charlie,N/A,Mobile Money,ORD1802
2025-04-14 09:15:59.161902,Laptop,Bob,N/A,Mobile Money,ORD4435
2025-01-09 09:15:59.162501,Phone,EVE ,N/A,Mobile Money,ORD3096
2024-12-10 09:15:59.161768,Mouse,ALICE,,cash,ORD6878
2025-07-09 09:15:59.161638,Monitor,Frank,349.91,CARD,ORD3007
2025-07-31 09:15:59.161859,Mouse,David,-438.3532832866111,Card,ORD6026
2024-12-25 09:15:59.161792, MOUSE ,Frank,182.42,cash,ORD4811
2025-07-17 09:15:59.161787,Headphones,Frank,-471.91135796457996,CARD,ORD1621
2024-11-01 09:15:59.161779,ph0ne,DAVID,,Mobile Money,ORD9882
2025-07-27 09:15:59.162206,Mouse,DAVID,-465.9312442918747,CARD,ORD7732
2024-12-30 09:15:59.161942,Head-phones, charlie,N/A,Cash,ORD8393
2025-03-19 09:15:59.161891,MONITOR,Alice,-14.60474141288681,CARD,ORD3750
2025-05-23 09:15:59.161987,keyboard ,Frank,,cash,ORD8909
2025-08-04 09:15:59.162323,Keyboard,Bob,N/A,Cash,ORD8478
2024-11-25 09:15:59.161834,Laptop,bob ,,cash,ORD6514
2025-08-22 09:15:59.161925,Mouse,EVE ,-414.09800814577954,MoBile MoNeY,ORD9078
2025-05-10 09:15:59.162337,Phone,bob ,-361.29746326987544,MoBile MoNeY,ORD9275
2025-08-31 09:15:59.162358,Phone,Frank,N/A,Cash,ORD3679
2025-08-21 09:15:59.162016,Headphones,Eve,N/A,Mobile Money,ORD7705
2025-09-10 09:15:59.161758, MOUSE ,Frank,-131.6135680529569,Card,ORD7363
2025-08-09 09:15:59.162060,Mouse,Charlie,N/A,Cash,ORD2342
2025-04-11 09:15:59.162490, MOUSE ,Alice,-27.8065261141522,MoBile MoNeY,ORD5918
2025-08-25 09:15:59.161828,Headphones, charlie,N/A,CARD,ORD7120
2025-07-29 09:15:59.162328, MOUSE ,Frank,,Card,ORD4262
2025-08-17 09:15:59.161693,Head-phones,DAVID,149.99,Cash,ORD7868
2024-12-08 09:15:59.162047,Monitor,frank,-211.29623013185753,Card,ORD8869
2024-11-10 09:15:59.161878,Monitor,DAVID,693.33,MoBile MoNeY,ORD9129
2025-08-28 09:15:59.161914,Headphones,EVE ,960.96,Mobile Money,ORD1788
2025-08-10 09:15:59.162123,Monitor,Bob,N/A,Mobile Money,ORD9773
2025-02-20 09:15:59.162384,laptpo,DAVID,,Bank Transfer,ORD1328
2025-01-27 09:15:59.162051,Monitor,Alice,,Bank Transfer,ORD2589
2025-01-21 09:15:59.161923,MONITOR,EVE ,,Bank Transfer,ORD7783
2024-10-02 09:15:59.161720,ph0ne,ALICE,-127.75872870086562,Bank Transfer,ORD7363
2025-04-18 09:15:59.161771, MOUSE ,EVE ,302.03,Cash,ORD1462
2024-12-26 09:15:59.162095,Monitor,Alice,154.51,CARD,ORD8619
2025-01-30 09:15:59.161835,Laptop,frank,-145.36122738280008,cash,ORD5944
2025-03-16 09:15:59.161740,Laptop,bob ,379.85,Cash,ORD6856
2024-10-12 09:15:59.161849,Head-phones,EVE ,-127.01471664146217,Cash,ORD3854
2024-10-24 09:15:59.162063,Head-phones,David,,CARD,ORD2892
2024-09-30 09:15:59.162383,Phone,Charlie,-198.23341841578696,cash,ORD9409
2025-05-22 09:15:59.162090,Head-phones,EVE ,,cash,ORD1731
2024-10-27 09:15:59.162310,laptpo,DAVID,,Card,ORD1474
2024-10-30 09:15:59.161723,Head-phones,ALICE,,Card,ORD3946
2025-04-18 09:15:59.161760,Monitor,DAVID,,CARD,ORD6813
2025-06-27 09:15:59.161873,laptpo,bob ,N/A,CARD,ORD6213
2025-05-15 09:15:59.161869,Laptop,ALICE,-317.131597713914,Bank Transfer,ORD1530
2025-01-26 09:15:59.161934,Monitor,Alice,N/A,Cash,ORD2661
2025-05-22 09:15:59.162424,MONITOR,ALICE,1077.67,Mobile Money,ORD9380
2025-03-24 09:15:59.161706,Head-phones,Eve,-230.89298009494755,Cash,ORD6883
2025-05-29 09:15:59.162203,keyboard ,DAVID,-261.5428415849867,CARD,ORD9775
2025-08-26 09:15:59.162083,Monitor,EVE ,,Card,ORD7249
2025-08-16 09:15:59.162192,Monitor,Frank,,Card,ORD3451
2025-05-23 09:15:59.161788,Headphones,Charlie,-303.03796440014077,Card,ORD2478
2025-02-06 09:15:59.162147,ph0ne,DAVID,N/A,MoBile MoNeY,ORD3738
2025-01-12 09:15:59.162183,laptpo,Bob,-126.38979870899327,Card,ORD1202
2025-07-17 09:15:59.162099,Keyboard,DAVID,-292.12198876104725,Card,ORD4706
2025-04-25 09:15:59.162306,Head-phones,Charlie,,MoBile MoNeY,ORD3222
2025-07-12 09:15:59.162395,keyboard ,Frank,-147.8646058030289,cash,ORD4666
2025-05-14 09:15:59.162326,Head-phones, charlie,1200.86,Cash,ORD6904
2025-02-22 09:15:59.162100,Laptop,David,1078.77,Mobile Money,ORD5400
2025-07-13 09:15:59.162406,laptpo,Frank,1158.39,Bank Transfer,ORD6713
2025-08-28 09:15:59.162176,Head-phones,Bob,,Cash,ORD6343
2025-02-22 09:15:59.162363,ph0ne,Bob,-385.8099104489924,Card,ORD5670
2025-06-09 09:15:59.162133,Head-phones,bob ,161.26,CARD,ORD7468
2025-05-07 09:15:59.161636,MONITOR,bob ,529.78,Card,ORD6432
2025-02-22 09:15:59.161825,laptpo,Charlie,850.76,Card,ORD6978
2025-03-02 09:15:59.162056,Phone,Bob,-291.3090021224167,cash,ORD3798
2025-01-09 09:15:59.161809,keyboard ,ALICE,N/A,Cash,ORD6582
2024-12-05 09:15:59.161679,Head-phones,Alice,N/A,Bank Transfer,ORD9173
2024-10-26 09:15:59.161774,Head-phones,Charlie,N/A,CARD,ORD3328
2025-08-07 09:15:59.162114, MOUSE ,David,,MoBile MoNeY,ORD4727
2025-09-19 09:15:59.162121,laptpo,DAVID,-286.2303868110463,Bank Transfer,ORD7858
2025-01-30 09:15:59.162072,laptpo,Frank,501.87,Cash,ORD5341
2025-04-26 09:15:59.162319,Keyboard,Bob,-450.35272508525287,Card,ORD5087
2024-10-13 09:15:59.161845,Head-phones,Bob,-280.4395343646974,MoBile MoNeY,ORD8982
2024-10-31 09:15:59.162079,Laptop,David,N/A,CARD,ORD4029
2025-08-10 09:15:59.162360,Mouse,Bob,1271.67,Card,ORD5237
2025-06-08 09:15:59.161640,Monitor,Eve,-385.14134229785407,Mobile Money,ORD1699
2024-11-26 09:15:59.162213,keyboard ,bob ,N/A,Card,ORD8750
2024-10-24 09:15:59.161932,Mouse,Bob,N/A,Cash,ORD7149
2025-05-07 09:15:59.162104,Monitor,DAVID,N/A,CARD,ORD3476
2024-12-30 09:15:59.161837,Keyboard,David,N/A,cash,ORD6285
2025-02-28 09:15:59.162453,MONITOR,Charlie,,Card,ORD9475
2025-05-21 09:15:59.161839,ph0ne,bob ,N/A,CARD,ORD3235
2025-08-23 09:15:59.162199,ph0ne,ALICE,1081.53,cash,ORD2654
2024-10-23 09:15:59.162157,Monitor,Bob,,Mobile Money,ORD7936
2024-12-01 09:15:59.161796,laptpo,frank,,Bank Transfer,ORD1326
2025-06-11 09:15:59.162420,Monitor,Bob,N/A,Card,ORD2676
2024-12-15 09:15:59.161747,Keyboard,bob ,-291.2914676169028,Card,ORD5060
2025-03-15 09:15:59.161832,Monitor,frank,-280.11988767143015,Card,ORD2655
2025-08-21 09:15:59.162031,ph0ne,Bob,,CARD,ORD7437
2025-01-23 09:15:59.162132,ph0ne,David,N/A,cash,ORD2293
2025-06-06 09:15:59.161749, MOUSE ,Bob,744.14,Bank Transfer,ORD4951
2025-06-27 09:15:59.162449,Laptop,ALICE,N/A,Cash,ORD4086
2025-07-08 09:15:59.162299,keyboard ,Eve,-79.96193949764937,Bank Transfer,ORD2075
2025-05-15 09:15:59.161794,keyboard ,Eve,N/A,CARD,ORD4584
2025-09-17 09:15:59.161905,ph0ne,David,448.0,Bank Transfer,ORD2110
2025-05-14 09:15:59.161941,keyboard ,David,207.1,Cash,ORD3664
2024-12-24 09:15:59.162044,Headphones,Eve,,Card,ORD2435
2024-11-26 09:15:59.162198,Monitor, charlie,1317.47,Cash,ORD2730
2024-12-01 09:15:59.162179,MONITOR,Charlie,,MoBile MoNeY,ORD9514
2025-02-14 09:15:59.162301,ph0ne,David,N/A,Mobile Money,ORD6097
2025-05-14 09:15:59.162351,Keyboard,Eve,N/A,MoBile MoNeY,ORD3909
2025-09-22 09:15:59.162388,laptpo,David,-88.07778182737613,Mobile Money,ORD8767
2025-02-22 09:15:59.162151, MOUSE ,DAVID,1172.97,Card,ORD4157
2024-12-02 09:15:59.161799,laptpo,EVE ,-296.81151638614864,Card,ORD8831
2025-01-09 09:15:59.162191,Mouse,Charlie,-148.06814902484996,Bank Transfer,ORD7790
2025-04-06 09:15:59.162000,Head-phones,Bob,,Cash,ORD3703
2024-10-19 09:15:59.162455,Headphones,DAVID,N/A,MoBile MoNeY,ORD4937
2025-07-27 09:15:59.161984,Mouse,Charlie,,cash,ORD6536
2025-07-18 09:15:59.161807,Phone,Frank,1010.75,MoBile MoNeY,ORD3137
2025-03-02 09:15:59.162433,keyboard ,frank,-363.379589272071,CARD,ORD8892
2025-07-09 09:15:59.162161,Mouse,Frank,-162.01355140038794,Cash,ORD8133
2025-05-04 09:15:59.162297,ph0ne,Alice,,Card,ORD3604
2025-01-11 09:15:59.162353,Mouse,Alice,N/A,CARD,ORD8775
2025-01-25 09:15:59.162181, MOUSE ,Frank,N/A,Cash,ORD8506
2024-11-13 09:15:59.162436,Keyboard,Charlie,264.27,MoBile MoNeY,ORD2045
2025-08-22 09:15:59.162493,Laptop,Bob,1321.28,Cash,ORD3967
2025-03-02 09:15:59.162128,Keyboard,Frank,N/A,Mobile Money,ORD8803
2025-08-03 09:15:59.162330,keyboard , charlie,N/A,cash,ORD5488
2025-08-06 09:15:59.162263,Headphones,bob ,-448.3723725279761,cash,ORD7828
2025-06-23 09:15:59.162194,laptpo,frank,,Card,ORD3428
2025-01-14 09:15:59.161776,Laptop,Eve,,Card,ORD4084
2025-09-26 09:15:59.161898,Monitor,DAVID,-158.03961856377367,Cash,ORD1186
2024-10-16 09:15:59.162201,Head-phones,ALICE,N/A,MoBile MoNeY,ORD5687
2024-12-12 09:15:59.162261, MOUSE ,EVE ,-224.10617773121885,Cash,ORD5414
2024-10-18 09:15:59.162246,Phone,bob ,-95.79367225533713,Bank Transfer,ORD6094
2025-04-28 09:15:59.162164,Laptop,DAVID,N/A,CARD,ORD3422
2025-07-30 09:15:59.161847,laptpo,ALICE,,CARD,ORD6198
2024-12-17 09:15:59.162317, MOUSE , charlie,340.26,MoBile MoNeY,ORD1944
2024-11-07 09:15:59.162020,ph0ne,bob ,-425.17628615194894,cash,ORD5346
2025-03-06 09:15:59.162488,Head-phones,DAVID,,Mobile Money,ORD9311
2025-04-01 09:15:59.162288,MONITOR,DAVID,-218.79687571269227,MoBile MoNeY,ORD9462
2025-01-13 09:15:59.161871,keyboard ,Bob,1314.96,Mobile Money,ORD3983
2024-12-04 09:15:59.162169, MOUSE ,frank,,Card,ORD2097
